age,hours,platform,ch,own,chid
33,2.0,GameBoy,6.0,0,1
33,2.0,GameCube,5.0,0,1
33,2.0,PC,4.0,1,1
33,2.0,PlayStation,1.0,1,1
33,2.0,PSPortable,3.0,0,1
33,2.0,Xbox,2.0,0,1
19,3.25,GameBoy,6.0,0,2
19,3.25,GameCube,5.0,0,2
19,3.25,PC,1.0,1,2
19,3.25,PlayStation,2.0,1,2
19,3.25,PSPortable,3.0,0,2
19,3.25,Xbox,4.0,0,2
18,4.0,GameBoy,6.0,0,3
18,4.0,GameCube,4.0,0,3
18,4.0,PC,5.0,1,3
18,4.0,PlayStation,1.0,1,3
18,4.0,PSPortable,2.0,0,3
18,4.0,Xbox,3.0,0,3
18,6.0,GameBoy,4.0,1,4
18,6.0,GameCube,1.0,1,4
18,6.0,PC,2.0,1,4
18,6.0,PlayStation,5.0,0,4
18,6.0,PSPortable,6.0,0,4
18,6.0,Xbox,3.0,1,4
18,2.0,GameBoy,6.0,0,5
18,2.0,GameCube,4.0,0,5
18,2.0,PC,5.0,1,5
18,2.0,PlayStation,2.0,0,5
18,2.0,PSPortable,3.0,0,5
18,2.0,Xbox,1.0,0,5
20,15.0,GameBoy,6.0,0,6
20,15.0,GameCube,4.0,0,6
20,15.0,PC,1.0,1,6
20,15.0,PlayStation,2.0,1,6
20,15.0,PSPortable,5.0,0,6
20,15.0,Xbox,3.0,0,6
18,7.0,GameBoy,5.0,1,7
18,7.0,GameCube,6.0,0,7
18,7.0,PC,1.0,1,7
18,7.0,PlayStation,2.0,1,7
18,7.0,PSPortable,4.0,0,7
18,7.0,Xbox,3.0,0,7
18,0.0,GameBoy,5.0,0,8
18,0.0,GameCube,1.0,0,8
18,0.0,PC,6.0,0,8
18,0.0,PlayStation,3.0,0,8
18,0.0,PSPortable,4.0,0,8
18,0.0,Xbox,2.0,0,8
18,0.0,GameBoy,6.0,0,9
18,0.0,GameCube,5.0,0,9
18,0.0,PC,4.0,0,9
18,0.0,PlayStation,3.0,0,9
18,0.0,PSPortable,1.0,0,9
18,0.0,Xbox,2.0,0,9
18,8.0,GameBoy,6.0,0,10
18,8.0,GameCube,5.0,0,10
18,8.0,PC,3.0,1,10
18,8.0,PlayStation,1.0,0,10
18,8.0,PSPortable,4.0,0,10
18,8.0,Xbox,2.0,0,10
18,8.0,GameBoy,6.0,0,11
18,8.0,GameCube,5.0,0,11
18,8.0,PC,3.0,1,11
18,8.0,PlayStation,1.0,1,11
18,8.0,PSPortable,4.0,1,11
18,8.0,Xbox,2.0,0,11
17,3.0,GameBoy,5.0,0,12
17,3.0,GameCube,6.0,0,12
17,3.0,PC,1.0,1,12
17,3.0,PlayStation,2.0,0,12
17,3.0,PSPortable,4.0,0,12
17,3.0,Xbox,3.0,0,12
22,0.0,GameBoy,1.0,0,13
22,0.0,GameCube,2.0,0,13
22,0.0,PC,6.0,1,13
22,0.0,PlayStation,4.0,0,13
22,0.0,PSPortable,5.0,0,13
22,0.0,Xbox,3.0,0,13
18,4.0,GameBoy,5.0,1,14
18,4.0,GameCube,6.0,0,14
18,4.0,PC,1.0,1,14
18,4.0,PlayStation,2.0,0,14
18,4.0,PSPortable,4.0,0,14
18,4.0,Xbox,3.0,0,14
18,4.0,GameBoy,6.0,0,15
18,4.0,GameCube,5.0,0,15
18,4.0,PC,4.0,1,15
18,4.0,PlayStation,2.0,0,15
18,4.0,PSPortable,3.0,1,15
18,4.0,Xbox,1.0,1,15
18,5.0,GameBoy,6.0,0,16
18,5.0,GameCube,5.0,0,16
18,5.0,PC,4.0,0,16
18,5.0,PlayStation,2.0,1,16
18,5.0,PSPortable,1.0,1,16
18,5.0,Xbox,3.0,1,16
22,0.0,GameBoy,4.0,0,17
22,0.0,GameCube,6.0,0,17
22,0.0,PC,2.0,1,17
22,0.0,PlayStation,1.0,0,17
22,0.0,PSPortable,3.0,0,17
22,0.0,Xbox,5.0,0,17
19,0.0,GameBoy,4.0,0,18
19,0.0,GameCube,1.0,0,18
19,0.0,PC,6.0,1,18
19,0.0,PlayStation,3.0,0,18
19,0.0,PSPortable,2.0,0,18
19,0.0,Xbox,5.0,0,18
19,0.0,GameBoy,6.0,0,19
19,0.0,GameCube,5.0,0,19
19,0.0,PC,1.0,1,19
19,0.0,PlayStation,2.0,0,19
19,0.0,PSPortable,4.0,0,19
19,0.0,Xbox,3.0,0,19
19,0.0,GameBoy,6.0,0,20
19,0.0,GameCube,3.0,0,20
19,0.0,PC,1.0,1,20
19,0.0,PlayStation,4.0,0,20
19,0.0,PSPortable,5.0,0,20
19,0.0,Xbox,2.0,0,20
17,0.0,GameBoy,3.0,0,21
17,0.0,GameCube,6.0,0,21
17,0.0,PC,1.0,1,21
17,0.0,PlayStation,5.0,0,21
17,0.0,PSPortable,4.0,0,21
17,0.0,Xbox,2.0,0,21
18,3.0,GameBoy,2.0,0,22
18,3.0,GameCube,6.0,0,22
18,3.0,PC,1.0,1,22
18,3.0,PlayStation,4.0,0,22
18,3.0,PSPortable,5.0,0,22
18,3.0,Xbox,3.0,0,22
18,1.0,GameBoy,4.0,0,23
18,1.0,GameCube,6.0,0,23
18,1.0,PC,5.0,1,23
18,1.0,PlayStation,2.0,0,23
18,1.0,PSPortable,3.0,0,23
18,1.0,Xbox,1.0,1,23
19,1.0,GameBoy,5.0,0,24
19,1.0,GameCube,6.0,0,24
19,1.0,PC,4.0,1,24
19,1.0,PlayStation,1.0,1,24
19,1.0,PSPortable,3.0,1,24
19,1.0,Xbox,2.0,0,24
19,2.0,GameBoy,5.0,0,25
19,2.0,GameCube,6.0,0,25
19,2.0,PC,2.0,1,25
19,2.0,PlayStation,4.0,0,25
19,2.0,PSPortable,3.0,0,25
19,2.0,Xbox,1.0,1,25
22,0.0,GameBoy,5.0,0,26
22,0.0,GameCube,4.0,0,26
22,0.0,PC,3.0,0,26
22,0.0,PlayStation,2.0,0,26
22,0.0,PSPortable,6.0,0,26
22,0.0,Xbox,1.0,0,26
18,2.0,GameBoy,6.0,0,27
18,2.0,GameCube,5.0,0,27
18,2.0,PC,4.0,1,27
18,2.0,PlayStation,2.0,1,27
18,2.0,PSPortable,3.0,0,27
18,2.0,Xbox,1.0,0,27
20,15.0,GameBoy,6.0,0,28
20,15.0,GameCube,4.0,0,28
20,15.0,PC,1.0,1,28
20,15.0,PlayStation,2.0,1,28
20,15.0,PSPortable,5.0,0,28
20,15.0,Xbox,3.0,0,28
18,2.0,GameBoy,6.0,0,29
18,2.0,GameCube,3.0,0,29
18,2.0,PC,2.0,1,29
18,2.0,PlayStation,4.0,0,29
18,2.0,PSPortable,5.0,0,29
18,2.0,Xbox,1.0,0,29
18,10.0,GameBoy,6.0,0,30
18,10.0,GameCube,5.0,0,30
18,10.0,PC,4.0,1,30
18,10.0,PlayStation,3.0,0,30
18,10.0,PSPortable,2.0,0,30
18,10.0,Xbox,1.0,0,30
18,1.0,GameBoy,5.0,0,31
18,1.0,GameCube,6.0,0,31
18,1.0,PC,1.0,1,31
18,1.0,PlayStation,2.0,0,31
18,1.0,PSPortable,3.0,1,31
18,1.0,Xbox,4.0,0,31
18,0.0,GameBoy,2.0,0,32
18,0.0,GameCube,1.0,0,32
18,0.0,PC,6.0,0,32
18,0.0,PlayStation,5.0,0,32
18,0.0,PSPortable,4.0,0,32
18,0.0,Xbox,3.0,0,32
19,1.0,GameBoy,2.0,1,33
19,1.0,GameCube,3.0,0,33
19,1.0,PC,1.0,1,33
19,1.0,PlayStation,5.0,1,33
19,1.0,PSPortable,6.0,0,33
19,1.0,Xbox,4.0,1,33
18,0.0,GameBoy,5.0,1,34
18,0.0,GameCube,6.0,0,34
18,0.0,PC,1.0,1,34
18,0.0,PlayStation,2.0,1,34
18,0.0,PSPortable,4.0,0,34
18,0.0,Xbox,3.0,0,34
19,0.0,GameBoy,3.0,0,35
19,0.0,GameCube,2.0,0,35
19,0.0,PC,5.0,0,35
19,0.0,PlayStation,6.0,0,35
19,0.0,PSPortable,1.0,1,35
19,0.0,Xbox,4.0,0,35
20,2.0,GameBoy,6.0,0,36
20,2.0,GameCube,3.0,0,36
20,2.0,PC,1.0,1,36
20,2.0,PlayStation,5.0,1,36
20,2.0,PSPortable,2.0,1,36
20,2.0,Xbox,4.0,0,36
18,10.0,GameBoy,5.0,0,37
18,10.0,GameCube,4.0,0,37
18,10.0,PC,3.0,1,37
18,10.0,PlayStation,2.0,1,37
18,10.0,PSPortable,1.0,0,37
18,10.0,Xbox,6.0,0,37
18,7.0,GameBoy,4.0,0,38
18,7.0,GameCube,5.0,0,38
18,7.0,PC,1.0,1,38
18,7.0,PlayStation,2.0,0,38
18,7.0,PSPortable,6.0,0,38
18,7.0,Xbox,3.0,1,38
18,2.0,GameBoy,5.0,0,39
18,2.0,GameCube,6.0,0,39
18,2.0,PC,3.0,1,39
18,2.0,PlayStation,2.0,0,39
18,2.0,PSPortable,4.0,0,39
18,2.0,Xbox,1.0,0,39
21,2.0,GameBoy,6.0,0,40
21,2.0,GameCube,5.0,0,40
21,2.0,PC,3.0,1,40
21,2.0,PlayStation,1.0,0,40
21,2.0,PSPortable,4.0,0,40
21,2.0,Xbox,2.0,0,40
19,0.0,GameBoy,5.0,0,41
19,0.0,GameCube,3.0,0,41
19,0.0,PC,6.0,0,41
19,0.0,PlayStation,1.0,0,41
19,0.0,PSPortable,4.0,0,41
19,0.0,Xbox,2.0,0,41
18,0.0,GameBoy,3.0,0,42
18,0.0,GameCube,2.0,0,42
18,0.0,PC,6.0,1,42
18,0.0,PlayStation,5.0,0,42
18,0.0,PSPortable,1.0,0,42
18,0.0,Xbox,4.0,0,42
21,0.25,GameBoy,5.0,0,43
21,0.25,GameCube,4.0,0,43
21,0.25,PC,3.0,1,43
21,0.25,PlayStation,1.0,0,43
21,0.25,PSPortable,6.0,0,43
21,0.25,Xbox,2.0,0,43
19,7.0,GameBoy,1.0,1,44
19,7.0,GameCube,3.0,0,44
19,7.0,PC,2.0,1,44
19,7.0,PlayStation,6.0,1,44
19,7.0,PSPortable,4.0,0,44
19,7.0,Xbox,5.0,0,44
19,5.0,GameBoy,5.0,0,45
19,5.0,GameCube,6.0,0,45
19,5.0,PC,2.0,1,45
19,5.0,PlayStation,3.0,1,45
19,5.0,PSPortable,4.0,0,45
19,5.0,Xbox,1.0,0,45
19,1.0,GameBoy,2.0,1,46
19,1.0,GameCube,1.0,0,46
19,1.0,PC,5.0,1,46
19,1.0,PlayStation,6.0,1,46
19,1.0,PSPortable,4.0,0,46
19,1.0,Xbox,3.0,0,46
21,1.0,GameBoy,5.0,0,47
21,1.0,GameCube,6.0,0,47
21,1.0,PC,1.0,1,47
21,1.0,PlayStation,3.0,0,47
21,1.0,PSPortable,4.0,0,47
21,1.0,Xbox,2.0,0,47
23,4.0,GameBoy,6.0,0,48
23,4.0,GameCube,5.0,0,48
23,4.0,PC,2.0,1,48
23,4.0,PlayStation,4.0,0,48
23,4.0,PSPortable,3.0,0,48
23,4.0,Xbox,1.0,0,48
22,1.0,GameBoy,4.0,1,49
22,1.0,GameCube,2.0,0,49
22,1.0,PC,6.0,1,49
22,1.0,PlayStation,1.0,1,49
22,1.0,PSPortable,3.0,0,49
22,1.0,Xbox,5.0,0,49
24,7.0,GameBoy,5.0,0,50
24,7.0,GameCube,2.0,0,50
24,7.0,PC,1.0,1,50
24,7.0,PlayStation,6.0,0,50
24,7.0,PSPortable,4.0,1,50
24,7.0,Xbox,3.0,0,50
19,0.0,GameBoy,3.0,0,51
19,0.0,GameCube,1.0,0,51
19,0.0,PC,6.0,1,51
19,0.0,PlayStation,5.0,0,51
19,0.0,PSPortable,2.0,0,51
19,0.0,Xbox,4.0,0,51
21,0.0,GameBoy,4.0,0,52
21,0.0,GameCube,6.0,0,52
21,0.0,PC,1.0,1,52
21,0.0,PlayStation,3.0,0,52
21,0.0,PSPortable,5.0,0,52
21,0.0,Xbox,2.0,0,52
20,7.0,GameBoy,4.0,0,53
20,7.0,GameCube,6.0,0,53
20,7.0,PC,3.0,1,53
20,7.0,PlayStation,2.0,0,53
20,7.0,PSPortable,5.0,0,53
20,7.0,Xbox,1.0,0,53
20,5.0,GameBoy,5.0,1,54
20,5.0,GameCube,6.0,0,54
20,5.0,PC,1.0,1,54
20,5.0,PlayStation,3.0,1,54
20,5.0,PSPortable,4.0,0,54
20,5.0,Xbox,2.0,1,54
22,15.0,GameBoy,4.0,0,55
22,15.0,GameCube,6.0,0,55
22,15.0,PC,1.0,1,55
22,15.0,PlayStation,5.0,0,55
22,15.0,PSPortable,2.0,0,55
22,15.0,Xbox,3.0,0,55
21,5.0,GameBoy,4.0,1,56
21,5.0,GameCube,6.0,0,56
21,5.0,PC,3.0,1,56
21,5.0,PlayStation,1.0,1,56
21,5.0,PSPortable,5.0,0,56
21,5.0,Xbox,2.0,0,56
18,0.0,GameBoy,5.0,0,57
18,0.0,GameCube,6.0,0,57
18,0.0,PC,1.0,1,57
18,0.0,PlayStation,2.0,0,57
18,0.0,PSPortable,4.0,0,57
18,0.0,Xbox,3.0,0,57
20,2.0,GameBoy,5.0,0,58
20,2.0,GameCube,6.0,0,58
20,2.0,PC,1.0,1,58
20,2.0,PlayStation,3.0,0,58
20,2.0,PSPortable,4.0,0,58
20,2.0,Xbox,2.0,0,58
24,0.0,GameBoy,5.0,0,59
24,0.0,GameCube,6.0,0,59
24,0.0,PC,1.0,1,59
24,0.0,PlayStation,4.0,0,59
24,0.0,PSPortable,3.0,0,59
24,0.0,Xbox,2.0,0,59
25,0.0,GameBoy,5.0,0,60
25,0.0,GameCube,6.0,0,60
25,0.0,PC,1.0,1,60
25,0.0,PlayStation,4.0,0,60
25,0.0,PSPortable,3.0,0,60
25,0.0,Xbox,2.0,0,60
21,1.0,GameBoy,2.0,1,61
21,1.0,GameCube,5.0,1,61
21,1.0,PC,6.0,1,61
21,1.0,PlayStation,4.0,1,61
21,1.0,PSPortable,1.0,1,61
21,1.0,Xbox,3.0,0,61
22,0.5,GameBoy,3.0,0,62
22,0.5,GameCube,2.0,0,62
22,0.5,PC,1.0,1,62
22,0.5,PlayStation,4.0,0,62
22,0.5,PSPortable,6.0,0,62
22,0.5,Xbox,5.0,0,62
21,1.0,GameBoy,5.0,0,63
21,1.0,GameCube,4.0,0,63
21,1.0,PC,2.0,1,63
21,1.0,PlayStation,6.0,0,63
21,1.0,PSPortable,3.0,0,63
21,1.0,Xbox,1.0,0,63
19,8.0,GameBoy,5.0,0,64
19,8.0,GameCube,4.0,1,64
19,8.0,PC,1.0,1,64
19,8.0,PlayStation,3.0,0,64
19,8.0,PSPortable,6.0,0,64
19,8.0,Xbox,2.0,0,64
20,15.0,GameBoy,6.0,0,65
20,15.0,GameCube,5.0,0,65
20,15.0,PC,1.0,1,65
20,15.0,PlayStation,2.0,0,65
20,15.0,PSPortable,4.0,0,65
20,15.0,Xbox,3.0,0,65
20,0.0,GameBoy,5.0,0,66
20,0.0,GameCube,2.0,0,66
20,0.0,PC,6.0,1,66
20,0.0,PlayStation,4.0,0,66
20,0.0,PSPortable,3.0,0,66
20,0.0,Xbox,1.0,0,66
20,0.0,GameBoy,3.0,0,67
20,0.0,GameCube,1.0,0,67
20,0.0,PC,4.0,1,67
20,0.0,PlayStation,6.0,0,67
20,0.0,PSPortable,2.0,0,67
20,0.0,Xbox,5.0,0,67
20,5.0,GameBoy,5.0,0,68
20,5.0,GameCube,6.0,0,68
20,5.0,PC,2.0,1,68
20,5.0,PlayStation,1.0,1,68
20,5.0,PSPortable,4.0,0,68
20,5.0,Xbox,3.0,0,68
21,1.0,GameBoy,5.0,0,69
21,1.0,GameCube,6.0,0,69
21,1.0,PC,3.0,1,69
21,1.0,PlayStation,2.0,0,69
21,1.0,PSPortable,4.0,0,69
21,1.0,Xbox,1.0,0,69
22,0.5,GameBoy,6.0,0,70
22,0.5,GameCube,5.0,0,70
22,0.5,PC,1.0,1,70
22,0.5,PlayStation,3.0,0,70
22,0.5,PSPortable,4.0,0,70
22,0.5,Xbox,2.0,0,70
22,8.0,GameBoy,4.0,0,71
22,8.0,GameCube,2.0,1,71
22,8.0,PC,5.0,0,71
22,8.0,PlayStation,3.0,0,71
22,8.0,PSPortable,6.0,0,71
22,8.0,Xbox,1.0,1,71
19,1.0,GameBoy,4.0,0,72
19,1.0,GameCube,5.0,1,72
19,1.0,PC,2.0,1,72
19,1.0,PlayStation,1.0,1,72
19,1.0,PSPortable,6.0,0,72
19,1.0,Xbox,3.0,0,72
20,0.0,GameBoy,4.0,0,73
20,0.0,GameCube,3.0,0,73
20,0.0,PC,6.0,1,73
20,0.0,PlayStation,2.0,0,73
20,0.0,PSPortable,5.0,0,73
20,0.0,Xbox,1.0,0,73
22,15.0,GameBoy,6.0,0,74
22,15.0,GameCube,4.0,0,74
22,15.0,PC,2.0,1,74
22,15.0,PlayStation,1.0,0,74
22,15.0,PSPortable,5.0,0,74
22,15.0,Xbox,3.0,0,74
22,0.0,GameBoy,5.0,0,75
22,0.0,GameCube,3.0,0,75
22,0.0,PC,6.0,1,75
22,0.0,PlayStation,1.0,0,75
22,0.0,PSPortable,4.0,0,75
22,0.0,Xbox,2.0,0,75
25,4.0,GameBoy,6.0,0,76
25,4.0,GameCube,5.0,0,76
25,4.0,PC,3.0,0,76
25,4.0,PlayStation,1.0,1,76
25,4.0,PSPortable,4.0,0,76
25,4.0,Xbox,2.0,0,76
21,1.0,GameBoy,6.0,0,77
21,1.0,GameCube,4.0,0,77
21,1.0,PC,1.0,1,77
21,1.0,PlayStation,3.0,0,77
21,1.0,PSPortable,5.0,0,77
21,1.0,Xbox,2.0,0,77
25,28.0,GameBoy,5.0,0,78
25,28.0,GameCube,4.0,0,78
25,28.0,PC,1.0,1,78
25,28.0,PlayStation,3.0,1,78
25,28.0,PSPortable,6.0,0,78
25,28.0,Xbox,2.0,1,78
19,1.0,GameBoy,5.0,0,79
19,1.0,GameCube,6.0,0,79
19,1.0,PC,4.0,1,79
19,1.0,PlayStation,1.0,0,79
19,1.0,PSPortable,3.0,0,79
19,1.0,Xbox,2.0,0,79
22,15.0,GameBoy,4.0,0,80
22,15.0,GameCube,6.0,0,80
22,15.0,PC,1.0,1,80
22,15.0,PlayStation,2.0,1,80
22,15.0,PSPortable,3.0,0,80
22,15.0,Xbox,5.0,0,80
21,10.0,GameBoy,4.0,1,81
21,10.0,GameCube,2.0,1,81
21,10.0,PC,1.0,1,81
21,10.0,PlayStation,3.0,1,81
21,10.0,PSPortable,5.0,0,81
21,10.0,Xbox,6.0,1,81
19,1.0,GameBoy,4.0,0,82
19,1.0,GameCube,3.0,0,82
19,1.0,PC,1.0,1,82
19,1.0,PlayStation,6.0,0,82
19,1.0,PSPortable,2.0,0,82
19,1.0,Xbox,5.0,0,82
27,2.0,GameBoy,5.0,0,83
27,2.0,GameCube,6.0,1,83
27,2.0,PC,2.0,0,83
27,2.0,PlayStation,3.0,0,83
27,2.0,PSPortable,1.0,0,83
27,2.0,Xbox,4.0,0,83
23,2.0,GameBoy,3.0,0,84
23,2.0,GameCube,2.0,1,84
23,2.0,PC,1.0,1,84
23,2.0,PlayStation,5.0,1,84
23,2.0,PSPortable,6.0,0,84
23,2.0,Xbox,4.0,0,84
25,10.0,GameBoy,6.0,0,85
25,10.0,GameCube,4.0,0,85
25,10.0,PC,1.0,1,85
25,10.0,PlayStation,2.0,0,85
25,10.0,PSPortable,5.0,0,85
25,10.0,Xbox,3.0,0,85
20,8.0,GameBoy,6.0,0,86
20,8.0,GameCube,4.0,0,86
20,8.0,PC,1.0,1,86
20,8.0,PlayStation,3.0,0,86
20,8.0,PSPortable,5.0,0,86
20,8.0,Xbox,2.0,0,86
20,10.0,GameBoy,2.0,0,87
20,10.0,GameCube,6.0,0,87
20,10.0,PC,4.0,1,87
20,10.0,PlayStation,3.0,0,87
20,10.0,PSPortable,5.0,0,87
20,10.0,Xbox,1.0,1,87
20,10.0,GameBoy,5.0,0,88
20,10.0,GameCube,6.0,0,88
20,10.0,PC,1.0,1,88
20,10.0,PlayStation,2.0,0,88
20,10.0,PSPortable,4.0,0,88
20,10.0,Xbox,3.0,0,88
22,0.0,GameBoy,3.0,0,89
22,0.0,GameCube,4.0,0,89
22,0.0,PC,1.0,1,89
22,0.0,PlayStation,2.0,0,89
22,0.0,PSPortable,6.0,0,89
22,0.0,Xbox,5.0,0,89
23,0.0,GameBoy,6.0,0,90
23,0.0,GameCube,4.0,0,90
23,0.0,PC,1.0,0,90
23,0.0,PlayStation,3.0,0,90
23,0.0,PSPortable,2.0,0,90
23,0.0,Xbox,5.0,0,90
21,3.0,GameBoy,6.0,0,91
21,3.0,GameCube,5.0,0,91
21,3.0,PC,2.0,1,91
21,3.0,PlayStation,1.0,1,91
21,3.0,PSPortable,3.0,0,91
21,3.0,Xbox,4.0,0,91
